SpectrumType,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1
1,-0.011879442,-0.8563952,-0.01201375,-0.9181863,-0.49268883,0.44969305,-0.012038829,-0.6850144,-0.7356519,0.04349347,0.5276915,0.29117948,-0.08144619,-0.78566504,BLL
0,-0.0122301625,1.2589439,-0.012451101,1.2289933,-0.11054077,-0.18518938,-0.01247377,1.1532389,-0.075289406,0.04349347,-0.17839934,-0.13715278,-0.07552881,0.42024764,BCU
0,-0.012448355,-1.6147811,-0.01277405,-1.4764509,-0.30727613,-0.15390016,-0.012821675,-1.488223,-0.43146384,0.04349347,-0.09283748,-0.20996937,-0.07882149,-0.78566504,BLL
1,-0.012025483,0.52888,-0.012129785,0.56220716,0.18415113,0.6166282,-0.01215258,0.53469616,-0.0860261,0.04349347,0.52273613,0.26785478,0.23405679,2.7480314,BCU
1,-0.012353829,-0.74652725,-0.012641343,-0.8968905,-0.25574446,0.010604462,-0.012685757,-0.73257935,-0.56899816,0.04349347,0.05573197,-0.1410814,-0.05871024,0.82048535,BCU
0,-0.012286418,-0.25861025,-0.0125629455,-0.111987144,-0.82978946,-0.27324766,-0.012601673,0.066334054,-0.86778015,0.04349347,-0.32004654,-0.06740835,-0.07784522,-0.50815886,BLL
1,-0.01169577,-0.92411834,-0.011779382,-0.8597909,-0.66166806,0.36755046,-0.011795777,-0.6291247,-0.8175073,0.04349347,0.43730378,0.40975732,0.038975127,0.37225503,BLL
0,-0.01240224,-0.11762762,-0.012715207,-0.0055900747,-0.8377346,-0.36618543,-0.012759797,0.15365262,-0.8381008,0.04349347,-0.43981433,-0.15834336,-0.071895674,0.52888,OtroAGN
0,-0.012410129,-0.57213986,-0.012724606,-0.37789842,-0.79693496,-0.31157845,-0.012769651,-0.24897458,-0.80326265,0.04349347,-0.32275575,-0.1598506,-0.07689027,-0.16400424,BLL
0,-0.012445014,-0.39135626,-0.012770938,-0.2917211,-0.81083,-0.4636594,-0.012816843,-1.8457805,1.0746455,0.04349347,-0.22438829,-0.21154879,-0.076628596,-0.019639773,BCU
0,-0.01158173,2.1190267,-0.011648692,1.8669317,-0.79551655,-0.40332845,-0.011625572,1.9609454,-0.7875682,0.04349347,-0.43981433,-0.1481788,-0.07810408,-0.0731211,BCU
0,-0.0123867765,0.29051045,-0.012698558,0.35117742,-1.0087231,-0.4636594,-0.012738676,0.42714426,-0.8264367,0.04349347,-0.43981433,-0.16775891,-0.06410623,1.4097041,FSRQ
1,-0.010804417,0.5030014,-0.010496925,0.1995217,-0.2233561,0.11875863,-0.010477506,0.36823103,-0.53814256,0.04349347,0.111815505,0.030593002,0.0075424616,1.2212373,FSRQ
0,-0.012405112,0.15499547,-0.012719691,0.20556714,-0.8850044,-0.44482514,-0.012762786,0.31001425,-0.7933574,0.04349347,-0.43981433,-0.19324729,-0.07919571,-0.78566504,BCU
0,-0.012404287,0.5742316,-0.012714637,0.6118653,-0.5932847,-0.35497424,-0.012758567,0.6539174,-0.6046224,0.04349347,-0.43981433,-0.19602838,-0.07987476,-0.78566504,BCU
1,-0.011071073,0.22925065,-0.010943245,0.048397772,-0.50478506,0.027997585,-0.010911973,0.20313434,-0.6686383,0.04349347,0.096715435,0.08020638,0.09863086,1.8249435,FSRQ
0,-0.012449378,-1.1656595,-0.012776156,-0.98032194,-0.6640252,-0.34815305,-0.012823945,-0.8465421,-0.73965,0.04349347,-0.43981433,-0.21537444,-0.074230395,0.7517649,BCU
0,-0.012374114,0.34593514,-0.012679225,0.40244752,-0.85334384,-0.32734913,-0.012720497,0.5242012,-0.8091709,0.04349347,-0.33441728,-0.043918416,-0.06570559,0.6310841,BCU
0,-0.012399994,-0.13535179,-0.012709309,-0.098583564,-0.61650133,-0.260478,-0.012752642,-0.027706634,-0.640281,0.04349347,-0.22814298,-0.14572749,-0.029181736,2.8017156,FSRQ
1,-0.0122942235,-0.76466316,-0.012559255,-0.87086564,-0.26294583,0.102991685,-0.012603496,-0.6612597,-0.62398374,0.04349347,0.075302154,-0.10747634,-0.068544805,0.07930099,BLL
0,-0.012448789,-1.0799818,-0.012776829,-0.5914492,-1.4268045,-0.2817833,-0.012823932,-0.4048649,-1.0077313,0.04349347,-0.43981433,-0.19923063,-0.075341076,-0.36879924,BCU
0,-0.012431011,-0.05010759,-0.012757339,0.18024313,-1.464384,-0.27401096,-0.01280147,0.46584353,-1.043919,0.04349347,-0.43981433,-0.1789709,-0.077844255,-0.2670375,OtroAGN
0,-0.012429305,-0.38271108,-0.01275222,-0.1494763,-1.0947707,-0.4636594,-0.01279827,0.07702004,-0.969756,0.04349347,-0.43981433,-0.17033371,-0.06355662,1.6762667,FSRQ
0,-0.012439189,-1.3021615,-0.01276419,-0.9053199,-1.0677276,-0.4636594,-0.012810997,-0.67740047,-0.9558271,0.04349347,-0.43981433,-0.18349296,-0.081463195,-0.78566504,BLL
1,-0.012324434,0.1966614,-0.012587568,-0.07285401,0.17127186,-0.061179433,-0.0126256915,-0.089983106,-0.04814324,0.04349347,-0.033403836,-0.17013265,-0.064349644,1.260325,BLL
0,-0.012421215,-0.6300064,-0.0127419755,-0.36403805,-1.0641755,-0.4636594,-0.012787215,-0.14225501,-0.9539649,0.04349347,-0.43981433,-0.14314988,-0.078345135,-0.12827623,BLL
0,-0.0123262955,0.67706645,-0.012625943,0.70387536,-1.0856493,-0.4636594,-0.0126668,0.9675081,-1.0105149,0.04349347,-0.43981433,-0.14867206,-0.07735026,0.08747076,BLL
0,-0.012357594,0.24376807,-0.012654854,0.26252258,-0.6642913,-0.27051207,-0.012695155,0.37024647,-0.6924545,0.04349347,-0.25431266,-0.065780915,-0.07131637,0.23329094,BCU
1,-0.012450785,-1.7447103,-0.0127773965,-1.8128464,0.050370447,-0.03624324,-0.012825669,-1.5758187,-0.52937126,0.04349347,-0.09378924,-0.22013515,-0.07796852,-0.072714254,BLL
1,-0.012400094,-0.68285567,-0.012706273,-0.7410381,-0.32454732,0.070316575,-0.012752094,-0.61917526,-0.57019955,0.04349347,0.10166135,-0.07436989,-0.07955935,-0.78566504,BCU
1,-0.010965383,0.8907459,-0.010607896,0.5775058,0.0039545028,0.09739232,-0.010575769,0.6306815,-0.2665654,0.04349347,0.09949901,-0.0041932417,-0.061356187,0.45215487,BCU
0,-0.012451473,-1.1343642,-0.012779505,-0.7472869,-1.1606824,-0.4636594,-0.012827202,-0.64879876,-0.88728356,0.04349347,-0.43981433,-0.21898477,-0.07803635,-0.78566504,BLL
0,-0.012449573,-1.5820105,-0.012777059,-1.1343901,-1.0646657,-0.4636594,-0.012824595,-1.0004872,-0.88420606,0.04349347,-0.43981433,-0.16413972,-0.07890548,-0.78566504,BLL
0,-0.012418617,-0.52915424,-0.012736468,-0.38143623,-0.8243887,-0.36230713,-0.0127819525,-0.23402785,-0.8178658,0.04349347,-0.41953588,-0.15763775,-0.07707232,-0.23538405,BLL
1,-0.008874481,1.458592,-0.0075279046,1.0620414,0.14996804,0.22096515,-0.0073495246,1.0913433,-0.1281077,0.04349347,0.22564264,0.06727093,-0.011015187,1.0194793,FSRQ
0,-0.011978348,1.3695444,-0.012069282,1.0064218,0.17769127,-0.19956343,-0.012077754,0.9485887,0.013737768,0.04349347,-0.1730157,-0.14989509,-0.07379933,0.667798,FSRQ
0,-0.012196838,0.006066247,-0.012442206,0.052890193,-0.7224524,-0.21110705,-0.012476336,0.21865977,-0.8099291,0.04349347,-0.23452981,-0.038747262,-0.064917125,0.12148048,BCU
1,-0.011363889,0.70849013,-0.011261911,0.7501405,-0.3333888,0.19314699,-0.011244763,0.8145886,-0.51290184,0.04349347,0.12058563,0.19610901,0.093525566,1.7295128,FSRQ
0,-0.012388421,-0.19354232,-0.012698204,-0.06394989,-0.874978,-0.3906969,-0.012742,0.12624247,-0.87913656,0.04349347,-0.43981433,-0.15176265,-0.077369295,-0.036554404,BLL
1,-0.012443468,-1.8446862,-0.012767341,-1.8844103,-0.30717078,-0.07432678,-0.012815421,-1.6180005,-0.6893881,0.04349347,-0.06787882,-0.213579,-0.07872951,-0.5015762,BLL
1,-0.010704542,1.7062484,-0.010120047,1.0078108,0.49379846,-0.05922414,-0.010015933,0.94832814,0.26147366,0.04349347,-0.014569453,-0.11224992,-0.037521936,2.1057198,FSRQ
0,-0.012337221,0.008997228,-0.012631986,0.09136342,-0.8530744,-0.33461595,-0.01267005,0.21089174,-0.80152184,0.04349347,-0.30784634,-0.105279095,-0.028323857,1.9230192,BCU
0,-0.012385859,-0.7173826,-0.0126956785,-0.47809374,-0.94292104,-0.34812516,-0.012736928,-0.34986264,-0.84389764,0.04349347,-0.21677227,-0.04572921,-0.07180075,-0.08254458,BLL
1,-0.012178983,1.0321537,-0.012398232,1.068568,-0.37825415,0.04446419,-0.012421227,1.0607421,-0.37953356,0.04349347,0.07008038,0.1245454,0.17761965,3.0156195,FSRQ
0,-0.01238061,-0.3778962,-0.012685575,-0.26869267,-0.7462926,-0.29448158,-0.012729338,-0.08829272,-0.8159113,0.04349347,-0.32451102,-0.12701494,-0.07295034,0.16844164,BLL
0,-0.012379915,1.1554216,-0.012659709,1.5144093,0.29976395,-0.145233,-0.012698439,1.3855851,0.5055384,0.04349347,-0.166203,-0.15993361,-0.08193808,-0.78566504,BCU
0,-0.012447013,-1.1271095,-0.012772895,-1.1132058,-0.46506965,-0.2972422,-0.012820334,-1.0964115,-0.5487155,0.04349347,-0.2511707,-0.21239614,-0.07310342,0.49607748,BLL
1,-0.012157665,1.3189678,-0.012286752,1.1350151,0.6717729,-0.11874533,-0.01228349,1.0665084,0.95777786,0.04349347,-0.09900969,-0.1781172,-0.075335786,0.28424853,BCU
1,-0.011984949,-0.58157444,-0.01215426,-0.62131304,-0.5443524,0.02435117,-0.01218649,-0.37462604,-0.7805164,0.04349347,0.01022791,-0.0392766,-0.060014732,0.16287248,BLL
0,-0.012430878,-0.5450269,-0.012748996,-0.5321636,-0.23844911,-0.2193705,-0.012796424,-0.3837632,-0.55151373,0.04349347,-0.27786142,-0.1929004,-0.075185426,0.18087512,BLL
0,-0.012365266,-0.924711,-0.012664445,-0.72505385,-0.7500739,-0.1562605,-0.0127088595,-0.5031867,-0.86341715,0.04349347,-0.1978336,-0.05485841,-0.065082505,0.07827269,BLL
0,-0.0124528175,-2.1293378,-0.012781141,-1.5322701,-1.1748667,-0.4636594,-0.012829104,-1.2853969,-0.9792467,0.04349347,-0.43981433,-0.22967175,-0.07823756,-0.78566504,BLL
1,-0.012249294,-1.1377437,-0.012501936,-1.2130449,-0.42054486,0.14515527,-0.012542347,-0.9955748,-0.6909517,0.04349347,0.21139237,-0.07918104,-0.07169537,-0.2682174,BLL
1,-0.010484356,-0.5351355,-0.010212106,-0.51619154,-0.69763005,0.23808302,-0.010168672,-0.2742196,-0.8372482,0.04349347,0.2738536,0.39333028,0.04160346,0.41953456,BLL
2,-0.0117052095,-0.20558311,-0.011494235,-0.9340671,1.6332155,1.1266501,-0.011512475,-0.8777239,0.80467236,0.04349347,1.153081,0.036048952,-0.080332994,-0.78566504,NoAGN
1,-0.0098754065,1.7622073,-0.009057544,1.4207879,-0.050453458,0.0057931994,-0.009038736,1.4918399,-0.4297771,0.04349347,-0.056545123,0.00045563094,-0.057579737,0.50071657,FSRQ
1,-0.01178713,0.490428,-0.01185211,0.38353992,-0.2971396,0.15139031,-0.011859695,0.46917045,-0.49906656,0.04349347,0.14936486,0.09754491,-0.031804625,0.760067,FSRQ
0,-0.012422613,-0.5667876,-0.012735986,-0.6406743,-0.06665105,-0.1548568,-0.012779456,-0.70297307,0.071325816,0.04349347,-0.118619494,-0.17698304,-0.07684515,-0.0013770844,BLL
1,-0.010022337,-0.69308525,-0.008752316,-1.2827867,1.2530011,3.5725327,-0.0087512825,-1.181523,0.42350876,0.04349347,3.5913565,0.884187,-0.08084266,-0.78566504,NoAGN
0,-0.012290895,1.4646436,-0.012591037,1.3271103,-1.2844828,-0.43830907,-0.012619632,1.5860378,-1.0217558,0.04349347,-0.43981433,-0.16053675,-0.06782567,1.35675,BCU
1,-0.012339577,0.90579516,-0.012579866,1.0676929,0.8999872,-0.08482546,-0.012608416,0.8958878,1.2431886,0.04349347,-0.055222087,-0.19364692,-0.053845238,2.4620214,BCU
0,-0.012403567,0.5174888,-0.01271678,0.5568998,-0.795831,-0.39302912,-0.012762305,0.7020607,-0.8508467,0.04349347,-0.43981433,-0.19093965,-0.0283169,4.9772754,FSRQ
0,-0.012450225,-0.49754328,-0.012777497,-0.4348936,-0.72431034,-0.4311956,-0.012825068,-0.49379623,-0.5690146,0.04349347,-0.43981433,-0.22776264,-0.08086261,-0.78566504,FSRQ
0,-0.012407346,-0.25895876,-0.012723716,-0.06879212,-0.9917872,-0.4084954,-0.012770068,0.21898858,-1.0002046,0.04349347,-0.43981433,0.010054753,-0.082385264,-0.78566504,NoAGN
1,-0.01236976,-0.1280919,-0.012664359,-0.553575,0.10515531,-0.08207349,-0.012705019,-0.56246036,-0.0895808,0.04349347,0.02393158,-0.16807772,-0.03260817,2.6824846,BCU
0,-0.012435335,-0.99523586,-0.012760053,-0.6132072,-1.1610997,-0.4636594,-0.012805749,-0.4737448,-0.93675095,0.04349347,-0.43981433,-0.18023537,-0.074166015,0.29271948,BLL
1,-0.012412097,-0.25973,-0.012718288,-0.767382,0.48063052,0.05032451,-0.012764246,-0.7037509,0.016636536,0.04349347,0.093046196,-0.15903993,-0.08069135,-0.78566504,BCU
1,-0.004353569,-0.25908914,-0.0017105901,-0.38766426,-0.4207605,1.1602945,-0.0015464128,-0.15686353,-0.7150629,0.04349347,1.0887613,1.1665157,3.7440257,3.7904496,FSRQ
0,-0.012451365,-0.61973566,-0.012779227,-0.5991527,-0.67333853,-0.432145,-0.012826783,-0.95045525,-0.23149762,0.04349347,-0.43981433,-0.22868451,-0.076024525,-0.055792283,BLL
0,-0.012407386,-0.3765259,-0.012722066,-0.24385108,-0.86670053,-0.3678004,-0.01276468,-0.17101109,-0.75131685,0.04349347,-0.3028175,-0.14173736,-0.07651017,-0.014874675,BLL
0,-0.012315303,0.029212223,-0.012604458,0.10353627,-0.8620027,-0.32123467,-0.012637535,0.16820166,-0.7281791,0.04349347,-0.1907125,-0.042761803,-0.052095227,0.5751981,BLL
1,-0.012451951,-1.7230722,-0.012778429,-1.7399606,1.0479864,0.057738725,-0.01282634,-1.9153283,0.73574936,0.04349347,0.0727895,-0.23877096,-0.07443208,0.911587,BCU
0,-0.012445858,-0.42388785,-0.012771297,-0.29392505,-0.62524563,-0.35362488,-0.01281856,-0.28228578,-0.587355,0.04349347,-0.43981433,-0.21929246,-0.075757176,0.18025663,BLL
1,-0.012440157,-1.7489227,-0.012762126,-1.9268321,-0.13365074,-0.041070342,-0.01281033,-1.6328467,-0.61483055,0.04349347,-0.039316677,-0.21837468,-0.063730195,1.2792101,BLL
1,-0.009263059,0.41025552,-0.008528903,0.34392497,-0.584513,0.29133406,-0.008444042,0.53186464,-0.77555406,0.04349347,0.19412635,0.5113003,0.20482711,1.1754092,FSRQ
2,-0.009726359,-0.6831433,-0.007693602,-0.3008264,1.7241757,5.7158704,-0.0074138395,-0.39230222,1.3847789,-5.10672,5.688135,1.7009166,-0.07891799,-0.76339024,NoAGN
1,-0.007187639,0.3584161,-0.0055572297,0.17077522,-0.35303175,0.5838715,-0.005360233,0.31656352,-0.5912914,0.04349347,0.6364215,0.52066064,0.3853681,1.3159646,FSRQ
0,-0.01244647,-1.1905799,-0.012771276,-1.1645993,-0.20854557,-0.19549157,-0.012819033,-1.0995464,-0.48334226,0.04349347,-0.1993134,-0.2130997,-0.07729217,-0.57010686,BLL
1,-0.01219022,0.0023774311,-0.012403704,-0.18433549,-0.16495839,0.02097075,-0.012447359,-0.025183259,-0.541,0.04349347,-0.007497767,-0.106615074,0.08573191,3.723366,BCU
0,-0.012377879,0.25780264,-0.012675445,0.13963516,-0.4238817,-0.29050517,-0.012724827,0.40199316,-0.8037997,0.04349347,-0.43981433,-0.17883925,-0.071618624,1.0417442,BLL
0,-0.012453546,-1.9996879,-0.012781669,-1.9454846,0.053295694,-0.22013052,-0.012829733,-2.0082827,-0.15886107,0.04349347,-0.20830719,-0.23899123,-0.07827459,-0.78566504,BCU
