PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_plsuperexpcutoff,spectrum_powerlaw
2.2218026e-15,1.7770604,2.1326352e-15,1.8039892,-0.01978641,0.0,2.2117807e-15,1.7804989,-0.0023379119,0.6666667,0.0,184.11105,21.99059,0.16415322,BLL,0,0,1
1.7170728e-13,2.5177157,1.9629815e-13,2.471993,0.14984488,2.9260774,1.9408539e-13,2.3860528,0.24941733,0.6666667,2.7504246,1250.0458,13.504294,0.08628154,NoAGN,1,0,0
6.399615e-12,2.5274982,7.393694e-12,2.408809,0.1759642,6.841146,7.2299085e-12,2.3561034,0.2411366,0.6666667,7.0526824,3603.3125,1599.2,1.7242976,FSRQ,1,0,0
1.2677541e-14,1.9286504,1.4650097e-14,1.8628172,0.09386726,1.4217433,1.423523e-14,1.8008159,0.11465191,0.6666667,1.106258,296.96466,20.140486,0.5153949,BLL,0,0,1
1.2393313e-11,2.2867577,1.339828e-11,2.1933184,0.07936134,6.369313,1.2938452e-11,2.1859574,0.06918135,0.6666667,6.26401,6042.3296,541.4545,0.4866774,BLL,1,0,0
3.4543863e-13,2.2783687,3.619195e-13,2.2532365,0.033702716,1.0064445,3.57621e-13,2.2328672,0.036160674,0.6666667,0.849271,1258.8291,91.1025,0.69299436,BLL,0,0,1
2.3195718e-15,1.7195909,3.174101e-15,1.6552315,0.15590094,1.7427721,2.98091e-15,1.5358558,0.19424093,0.6666667,1.4840362,109.942665,21.321188,0.0,BLL,0,0,1
1.0864118e-13,2.1915588,1.6710011e-13,1.9286985,0.46780664,4.3384423,1.6580324e-13,1.7324396,0.8606385,0.6666667,4.7106504,301.29755,20.004412,0.38255635,FSRQ,1,0,0
6.351447e-14,2.6737194,7.072654e-14,2.7774224,0.115475066,1.4700897,7.236412e-14,2.6618335,0.29212424,0.6666667,1.2830954,724.59216,14.3321,0.0,NoAGN,0,0,1
1.5999874e-12,2.4205287,1.735942e-12,2.3322647,0.08649206,2.5038867,1.6984758e-12,2.2957733,0.10474854,0.6666667,2.8106422,1546.2611,50.009357,0.37168708,FSRQ,1,0,0
3.4597097e-13,2.1977558,3.5786792e-13,2.1877956,0.021072892,1.3411168,3.399704e-13,2.2147112,-0.012274883,0.6666667,0.49766144,8772.685,9.309592,0.0,NoAGN,0,0,1
1.9389138e-13,2.278355,2.1407782e-13,2.202694,0.08825536,1.593457,2.0771934e-13,2.1767027,0.091998026,0.6666667,1.468701,841.1145,24.857172,0.33763137,BLL,0,0,1
7.949665e-13,2.6909852,1.1735593e-12,2.4678705,0.42731535,3.2209232,1.2074339e-12,2.2771785,0.8811604,0.6666667,3.5735123,531.12946,9.395368,0.0,FSRQ,1,0,0
2.3371832e-10,2.251669,4.065421e-10,2.3816879,0.303774,253.71828,4.1082562e-10,2.2607012,0.5794165,0.4922263,257.0524,284295.47,13.713382,0.001271923,NoAGN,0,1,0
4.6121652e-14,2.1783795,5.0807276e-14,2.1524472,0.059977077,0.8957579,4.8761254e-14,2.1211524,0.050422445,0.6666667,0.0,377.67694,21.070282,0.46496135,BLL,0,0,1
9.9475095e-14,2.4159205,1.0540261e-13,2.406562,0.038062517,0.23582995,1.05319995e-13,2.3739924,0.06171506,0.6666667,0.0,352.55624,23.475918,0.4937133,BLL,0,0,1
7.0276636e-12,2.9236073,9.928358e-12,2.7177293,0.36833397,3.4657888,1.0061596e-11,2.565168,0.7519755,0.6666667,3.709758,997.79596,54.075676,0.6610903,FSRQ,1,0,0
7.999265e-14,2.3338563,7.372504e-14,2.3527293,-0.044556256,1.1392813,7.795768e-14,2.371832,-0.019541238,0.6666667,0.0,662.3753,10.572496,0.0,BLL,0,0,1
2.221265e-15,1.6834837,3.2926515e-15,1.3925319,0.3064091,2.5836837,3.3935312e-15,1.1868994,0.6215877,0.6666667,2.770368,47.89271,13.394347,0.0,BLL,1,0,0
3.8393095e-13,2.720763,3.9116838e-13,2.7022567,0.022076415,0.0,4.0827804e-13,2.6123583,0.11827518,0.6666667,0.0,504.35336,13.243206,0.2076765,FSRQ,0,0,1
5.341602e-13,2.1685376,7.1674703e-13,1.8851118,0.34516773,8.257394,6.910911e-13,1.7966523,0.5019092,0.6666667,8.578948,1382.1005,11.153429,0.0,NoAGN,1,0,0
1.1152401e-13,2.1451163,1.1179341e-13,2.144024,0.0015277036,0.0,1.11906056e-13,2.1406064,0.00261265,0.6666667,0.0,686.15125,33.923557,0.43436685,BLL,0,0,1
1.4390134e-13,1.9883952,1.5743155e-13,1.8316122,0.091173254,2.3254533,1.5301814e-13,1.7996658,0.094046704,0.6666667,2.7734938,616.6506,16.989855,0.19769627,BLL,1,0,0
6.5184906e-12,2.339644,7.1460195e-12,2.2253652,0.098271795,5.188672,6.927317e-12,2.2032146,0.10364519,0.6666667,5.4608073,3484.8088,1027.1686,1.0681512,FSRQ,1,0,0
1.1718142e-13,1.8228648,1.433974e-13,1.5522588,0.18887036,6.881691,1.3648246e-13,1.5142956,0.20726003,0.6666667,7.473827,1047.1312,44.511967,0.33282,BLL,1,0,0
4.2063766e-11,2.8266335,5.349311e-11,2.7728395,0.26358327,15.99891,5.267073e-11,2.6829467,0.43364695,0.6666667,16.109215,11738.09,4904.224,1.0108045,FSRQ,1,0,0
8.696305e-15,1.9356909,8.898226e-15,1.9031588,0.015914196,0.0,9.227385e-15,1.8361528,0.054421205,0.6666667,0.0,230.03316,12.8573065,0.0,BLL,0,0,1
1.918318e-15,1.908227,1.7440528e-15,1.9462422,-0.047341175,0.74391127,1.9583908e-15,1.8804132,0.011881471,0.6666667,0.0,246.4424,15.558049,0.0,BLL,0,0,1
4.3299461e-16,1.6759331,5.3361387e-16,1.4689591,0.15392125,0.8478245,5.4127565e-16,1.0744219,0.43514693,0.6666667,1.1253513,53.935516,11.941535,0.0,BLL,0,0,1
1.0139709e-13,2.0376933,1.5498632e-13,1.8046389,0.4708614,8.528353,1.541619e-13,1.683079,0.80466294,0.6666667,8.734736,789.188,16.363035,0.05779086,NoAGN,1,0,0
5.4233245e-13,2.0324063,5.7098277e-13,1.9473515,0.05197138,2.4619184,5.6173593e-13,1.9182578,0.058212638,0.6666667,2.8176646,1611.6062,56.592934,0.30322278,BLL,1,0,0
7.128633e-13,2.1179607,7.663084e-13,2.0224688,0.07147242,3.9466753,7.4617526e-13,1.9990004,0.070376724,0.6666667,4.410175,2664.0862,20.895359,0.102225326,BLL,1,0,0
2.9951123e-15,1.9608729,3.0323062e-15,1.9171778,0.02966867,0.0,3.2633488e-15,1.7366914,0.14432786,0.6666667,0.0,153.76973,14.576585,0.0,NoAGN,0,0,1
7.936795e-14,2.2745543,7.9213735e-14,2.274689,-0.003007579,0.0,7.8157695e-14,2.2972646,-0.014422781,0.6666667,0.0,823.8229,2.287864,0.0,FSRQ,0,0,1
1.021012e-12,2.6238096,1.2266938e-12,2.4089077,0.22208384,2.4024456,1.2139876e-12,2.3023474,0.37325427,0.6666667,2.6581988,674.5371,28.138102,0.45214796,FSRQ,1,0,0
1.7464276e-13,1.9189488,1.7774156e-13,1.9106138,0.008915793,0.48487136,1.7682508e-13,1.9027225,0.0074636303,0.6666667,0.0,1765.3219,36.41276,0.23009552,BLL,0,0,1
2.0953877e-14,1.7704111,2.184422e-14,1.7486047,0.021176735,0.6290496,2.2035987e-14,1.7074388,0.033268657,0.6666667,0.8998646,465.24734,24.55959,0.33736137,BLL,0,0,1
3.3468898e-13,2.2374485,3.6728343e-13,2.181099,0.07425957,1.9150773,3.4748113e-13,2.188151,0.039107777,0.6666667,0.8447567,1121.6632,33.43831,0.3215998,BLL,0,0,1
1.0572964e-12,2.70756,1.2676751e-12,2.574267,0.17984387,1.8635374,1.2771509e-12,2.4506135,0.34264916,0.6666667,2.1539373,681.99005,17.6992,0.32369265,FSRQ,0,0,1
6.20399e-16,1.7255061,7.797801e-16,1.2535723,0.28930113,1.1643457,7.599451e-16,0.7585641,0.7658674,0.6666667,1.9350185,104.39137,15.849688,0.0,BLL,0,0,1
4.6298363e-14,2.0666418,5.514713e-14,1.8509163,0.19853698,3.0933697,5.3008376e-14,1.7892625,0.24628676,0.6666667,3.1513484,403.80377,9.776379,0.0,BLL,1,0,0
6.701122e-14,2.3589947,6.894917e-14,2.3351207,0.0239303,0.0,7.147625e-14,2.2570903,0.08165803,0.6666667,0.0,339.0796,7.563434,0.0,BLL,0,0,1
8.995243e-14,1.9317013,9.856437e-14,1.7801125,0.09248344,2.726537,9.494416e-14,1.7753261,0.078600034,0.6666667,2.7949083,751.5658,28.731028,0.31459257,BLL,1,0,0
9.3217345e-14,2.0601573,1.1449202e-13,1.9814878,0.14155214,3.223013,1.0982407e-13,1.9153221,0.16830477,0.6666667,3.0811958,603.08124,19.055815,0.22590582,BLL,1,0,0
6.9626656e-13,2.2220922,7.5277886e-13,2.1856775,0.07112687,3.7571895,7.368908e-13,2.1662,0.069166005,0.6666667,3.257403,3225.6829,273.11493,0.64444256,BLL,1,0,0
6.8585463e-12,2.3246624,7.443818e-12,2.226916,0.085977875,4.7752028,7.21135e-12,2.2131126,0.084149435,0.6666667,4.7108216,3961.5403,746.4084,0.8329821,FSRQ,1,0,0
8.458873e-14,2.121438,7.998681e-14,2.1561272,-0.032731984,0.9081031,8.443789e-14,2.1224835,-0.000567106,0.6666667,0.0,660.63007,18.130154,0.19895537,BLL,0,0,1
7.611805e-13,2.2209835,8.258281e-13,2.1080542,0.08532558,2.8272278,8.0005333e-13,2.0926511,0.08133423,0.6666667,2.9696221,1442.4608,53.756702,0.37209037,BLL,1,0,0
2.3428544e-13,1.8055329,2.2276323e-13,1.8238776,-0.020693516,2.3003602,2.298547e-13,1.8256891,-0.009799881,0.6666667,1.1255314,8290.227,12.990019,0.014105041,NoAGN,0,0,1
2.0178339e-13,2.420543,2.2251368e-13,2.3502882,0.08502367,1.1518598,2.2258256e-13,2.2857385,0.13787906,0.6666667,1.187229,612.50494,16.767649,0.275591,FSRQ,0,0,1
1.8575695e-15,1.7165622,2.4861383e-15,1.5089068,0.21058711,2.0447266,2.4700696e-15,1.3309461,0.36602882,0.6666667,2.2789044,66.96121,12.565022,0.0,NoAGN,1,0,0
2.250343e-16,1.4708978,3.203566e-16,1.3119613,0.22449456,1.3852036,3.4396176e-16,0.98192,0.6136964,0.6666667,1.6722089,31.746199,16.14782,0.0,BLL,0,0,1
5.903782e-14,1.8969656,6.954173e-14,1.6800134,0.14661123,3.044537,6.477729e-14,1.7014611,0.10761611,0.6666667,2.657527,366.0413,18.319872,0.24224913,BLL,1,0,0
1.2563229e-11,2.21031,1.3147933e-11,2.1646564,0.039876997,5.1388593,1.2820232e-11,2.1639137,0.026714312,0.6666667,4.795434,9589.839,1014.76733,0.51589274,BLL,1,0,0
5.233937e-13,2.6121194,5.492591e-13,2.5631592,0.052819353,0.595704,5.539196e-13,2.521481,0.10289087,0.6666667,0.7112065,1400.0343,25.872833,0.3002838,FSRQ,0,0,1
2.166909e-12,2.0537148,2.3235287e-12,1.9430676,0.07151652,5.159044,2.251608e-12,1.9344034,0.060582653,0.6666667,5.643501,3332.448,48.092697,0.16433287,BLL,1,0,0
6.8365676e-14,2.1137023,7.188099e-14,2.0719275,0.038216874,0.76724833,7.104532e-14,2.0559711,0.03463373,0.6666667,0.10307208,774.40894,22.052427,0.28178605,BLL,0,0,1
8.42659e-14,2.3223085,1.01871e-13,2.3732066,0.1665239,0.71392107,1.0295643e-13,2.2855663,0.33459014,0.6666667,0.0,377.92728,4.800542,0.0,BLL,0,0,1
1.4001932e-12,2.4918113,1.5219587e-12,2.4600391,0.059877686,1.6795504,1.4995718e-12,2.4214451,0.07819119,0.6666667,1.720796,1698.9313,118.01456,0.68894386,FSRQ,0,0,1
1.093155e-14,1.8881328,1.2009914e-14,1.8351264,0.056023963,1.0418615,1.2091501e-14,1.7601588,0.088350676,0.6666667,1.2950243,395.57104,26.586279,0.44335532,BLL,0,0,1
1.8542627e-14,2.3511524,1.9858188e-14,2.3328044,0.04797481,0.4155091,2.0590443e-14,2.2235813,0.14762014,0.6666667,0.0,320.0493,12.324892,0.0,NoAGN,0,0,1
1.7142263e-15,1.7719414,2.2744217e-15,1.5090753,0.20397024,1.1792375,2.275033e-15,1.3509818,0.3716131,0.6666667,1.4197608,113.85989,15.743216,0.0,BLL,0,0,1
8.229171e-14,2.2103307,8.261442e-14,2.2078388,0.0025976351,0.0,8.395033e-14,2.1782377,0.019109195,0.6666667,0.0,746.91547,35.8589,0.5320247,BLL,0,0,1
6.1835623e-16,1.7335976,7.662529e-16,1.6609824,0.11871781,0.7901835,7.4476484e-16,1.6101677,0.15860172,0.6666667,0.0,67.031975,14.671006,0.0,BLL,0,0,1
2.2825318e-13,2.46898,2.7871656e-13,2.407712,0.2066291,2.9245362,2.8148837e-13,2.3117354,0.39702454,0.6666667,2.9897797,838.87317,16.321632,0.15850353,BLL,1,0,0
1.6791271e-14,2.1970494,2.5503515e-14,2.100623,0.36638948,2.4881964,2.5759978e-14,1.9510562,0.72313446,0.6666667,2.5287817,136.627,14.489532,0.0,BLL,1,0,0
1.2640766e-12,2.1237278,1.3279124e-12,2.0423844,0.052454326,2.6318164,1.2972229e-12,2.0336792,0.044309027,0.6666667,2.981441,2183.648,102.88601,0.39182055,BLL,1,0,0
9.911693e-13,2.4177585,9.734511e-13,2.4278016,-0.013652282,0.4527595,9.940572e-13,2.4133308,0.0031619328,0.6666667,0.0,1882.0144,52.732956,0.34488368,FSRQ,0,0,1
1.0634463e-13,2.519664,1.2180815e-13,2.3583896,0.14247634,1.0827177,1.2652524e-13,2.0424702,0.4609349,0.6666667,1.51586,354.42053,17.305992,0.39959097,BLL,0,0,1
2.9908005e-12,2.7474184,3.7245576e-12,2.6799295,0.22740906,3.7306957,3.69215e-12,2.5853195,0.3943404,0.6666667,3.6555476,1283.777,88.530785,0.722254,FSRQ,1,0,0
1.0318706e-13,2.2890477,1.104627e-13,2.2266426,0.058364335,0.7614815,1.1143243e-13,2.1681347,0.10144453,0.6666667,1.0096586,685.8039,9.803178,0.0,FSRQ,0,0,1
4.4723735e-13,2.6934552,8.847649e-13,3.041114,0.38706204,4.072463,8.96121e-13,2.807923,0.8952018,0.6666667,3.9365299,1115.1696,10.617703,0.0,NoAGN,1,0,0
1.6278264e-13,1.809566,1.887033e-13,1.6258049,0.117434695,4.925285,1.7777567e-13,1.6190847,0.094962634,0.6666667,4.8240676,866.2175,42.21916,0.30907062,BLL,1,0,0
2.1407057e-13,2.054687,2.3344887e-13,1.961768,0.07084908,2.11582,2.283955e-13,1.9180527,0.082709745,0.6666667,2.4690518,796.2911,106.659035,0.7825707,BLL,1,0,0
3.82875e-14,2.4125972,3.9175443e-14,2.377897,0.022809746,0.0,4.273417e-14,2.2178757,0.18673207,0.6666667,0.0,282.68475,29.073002,0.66540843,FSRQ,0,0,1
1.04375305e-14,2.0887058,1.3968848e-14,1.5601702,0.3676322,1.7489318,1.3675064e-14,1.2501752,0.75808007,0.6666667,2.1476107,161.66525,10.589989,0.0,BLL,0,0,1
1.3265873e-12,2.6337645,2.1303382e-12,2.8318043,0.47749922,9.686701,2.2056512e-12,2.6742904,1.1097968,0.6666667,9.759624,2944.746,14.718653,0.07350855,NoAGN,0,1,0
4.212541e-14,1.8324612,4.753206e-14,1.6714754,0.104749024,2.6686156,4.6327793e-14,1.6076539,0.12840259,0.6666667,3.0840023,437.70584,18.836103,0.24871965,BLL,1,0,0
2.509495e-12,2.4898105,2.854935e-12,2.5565624,0.10591141,5.818168,2.8365867e-12,2.479508,0.17397493,0.6666667,5.432569,5025.4277,1118.5679,1.0277808,FSRQ,1,0,0
4.1094707e-13,2.132778,4.4048586e-13,2.0065336,0.084636144,2.764235,4.2951957e-13,1.9888457,0.08284747,0.6666667,3.0062108,1467.7977,40.38571,0.27870715,BLL,1,0,0
6.4420296e-12,2.2862413,7.1089805e-12,2.1923513,0.09497517,6.1644106,6.8759577e-12,2.171681,0.09650108,0.6666667,5.820077,4422.403,156.57365,0.32429805,FSRQ,1,0,0
7.735768e-15,1.942968,8.493213e-15,1.8865072,0.057302635,0.6181944,8.500433e-15,1.8237885,0.088452965,0.6666667,0.0,193.77515,11.572831,0.0,BLL,0,0,1
