PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_powerlaw,spectrum_plsuperexpcutoff
1.6420268e-13,2.5177617,2.1688308e-13,2.2580078,0.4187413,4.3723793,2.1435348e-13,2.140975,0.7362667,0.6666667,4.530263,767.31866,15.089942,0.21484113,SrcVela,1,0,0
1.7170728e-13,2.5177157,1.9629815e-13,2.471993,0.14984488,2.9260774,1.9408539e-13,2.3860528,0.24941733,0.6666667,2.7504246,1250.0458,13.504294,0.08628154,SrcVela,1,0,0
6.74539e-14,2.5855875,6.8498714e-14,2.5940976,0.010770967,0.0,6.705235e-14,2.5881114,-0.013008856,0.6666667,0.0,714.227,10.688735,0.0,SrcVela,0,1,0
1.9207475e-14,2.4757817,2.4745344e-14,2.2292557,0.30355334,1.6614712,2.4962794e-14,2.1089816,0.5471404,0.6666667,1.851239,476.72757,20.2078,0.40913776,SrcVela,0,1,0
6.351447e-14,2.6737194,7.072654e-14,2.7774224,0.115475066,1.4700897,7.236412e-14,2.6618335,0.29212424,0.6666667,1.2830954,724.59216,14.3321,0.0,SrcVela,0,1,0
2.8201223e-13,2.6513371,3.7104702e-13,2.6181464,0.23562647,2.517699,3.768324e-13,2.4498215,0.51136446,0.6666667,2.613432,804.9574,5.774761,0.0,SrcVela,1,0,0
8.787001e-13,2.790417,1.4041252e-12,3.0955818,0.39675605,3.1698895,1.4317561e-12,2.9643142,0.95947355,0.6666667,3.0820792,1047.0759,16.653168,0.39116377,SrcVela,1,0,0
9.711762e-13,2.8499243,1.629823e-12,3.0910368,0.47518623,4.5931726,1.6727806e-12,2.962402,1.1640037,0.6666667,4.508513,1147.4222,10.4822,0.0,SrcVela,1,0,0
4.3726286e-13,2.7123568,5.884249e-13,2.8301103,0.30481377,3.0960693,6.1342495e-13,2.684504,0.80588853,0.6666667,3.123189,916.7877,8.965928,0.0,SrcVela,1,0,0
2.3507045e-13,2.6132758,3.4052999e-13,2.6272163,0.34550795,3.5275712,3.494094e-13,2.4281988,0.7730071,0.6666667,3.6972785,781.5311,11.319254,0.0,SrcVela,1,0,0
1.4720763e-14,2.312171,1.3031946e-14,2.3632343,-0.081499465,1.1660917,1.4365531e-14,2.4131482,-0.041130412,0.6666667,0.0,273.7464,20.255219,0.55401796,SrcVela,0,1,0
4.6252385e-13,2.7470756,7.159334e-13,2.9875603,0.38870516,3.7273874,7.260888e-13,2.816974,0.86829233,0.6666667,3.6509604,996.5813,7.480365,0.0,SrcVela,1,0,0
8.906007e-15,2.128301,8.065353e-15,2.1259859,-0.052660517,1.062096,8.223607e-15,2.2190704,-0.053163677,0.6666667,0.90881544,390.2786,11.0970955,0.0,SrcVela,0,1,0
9.030326e-13,2.7327878,1.1351148e-12,2.912307,0.25175196,4.722467,1.1527325e-12,2.8076715,0.58312374,0.6666667,4.1697936,2104.018,7.39445,0.0,SrcVela,1,0,0
4.2305464e-14,2.4953494,4.68598e-14,2.5638113,0.08066299,0.8739959,4.6459035e-14,2.4783173,0.14942107,0.6666667,0.0,528.02747,3.7118137,0.0,SrcVela,0,1,0
2.9682425e-13,2.727445,4.0800206e-13,2.8382237,0.26892057,2.86539,4.0993226e-13,2.6446228,0.5623065,0.6666667,2.8183904,739.5245,11.986042,0.0,SrcVela,1,0,0
5.7187545e-13,2.7605097,8.989805e-13,3.0855715,0.39228684,3.6479247,9.206513e-13,3.0169072,1.0743468,0.6666667,3.4188738,1141.225,9.046278,0.0,SrcVela,1,0,0
2.8838467e-15,1.969515,2.3457597e-15,2.089332,-0.10372226,2.0205307,2.099234e-15,2.3775363,-0.115417354,0.6666667,2.2951434,195.39114,10.709992,0.0,SrcVela,0,1,0
3.7546848e-13,2.7558844,6.2733434e-13,2.8272443,0.4136257,3.7768557,6.454063e-13,2.5790162,0.9663922,0.6666667,4.0015836,789.511,13.860151,0.15706621,SrcVela,1,0,0
3.2081274e-13,2.6718562,4.606738e-13,2.82202,0.32896906,3.278656,4.7114477e-13,2.6566045,0.739345,0.6666667,3.2776597,928.5198,3.9163,0.0,SrcVela,1,0,0
9.107252e-13,2.7577732,1.4490954e-12,2.9898472,0.48314756,5.6243567,1.48627e-12,2.8423166,1.1037357,0.6666667,5.591139,1572.2759,3.5918531,0.0,SrcVela,1,0,0
1.1868107e-12,2.3630567,1.539963e-12,2.114101,0.35887182,10.526409,1.4890976e-12,2.0351164,0.52389777,0.6666667,10.756627,3088.4478,10.974395,0.0,SrcVela,1,0,0
2.6201304e-14,2.3918407,2.5911097e-14,2.383435,-0.0093001705,0.0,2.975803e-14,2.595181,0.40792853,0.6666667,0.0,571.1263,19.076635,0.29677185,SrcVela,0,1,0
1.441337e-15,2.0078182,1.2749629e-15,2.0310419,-0.08438301,1.4025667,1.3028302e-15,2.239282,-0.09060176,0.6666667,0.7474592,161.19098,6.022271,0.0,SrcVela,0,1,0
2.0642231e-13,2.654287,3.42494e-13,2.923134,0.36777988,3.1425364,3.6333965e-13,2.8525643,1.1029838,0.6666667,3.0939724,811.3347,25.461359,0.57659566,SrcVela,1,0,0
2.5157686e-13,2.5690174,3.1125135e-13,2.6873598,0.18411154,3.1030452,3.0475682e-13,2.5764656,0.30891705,0.6666667,2.212735,1401.1836,10.374258,0.0,SrcVela,1,0,0
2.839094e-13,2.6763427,4.659478e-13,2.9237444,0.35732046,3.560449,4.8091224e-13,2.768078,0.8872705,0.6666667,3.4830523,868.18866,16.017752,0.12092555,SrcVela,1,0,0
4.809602e-13,2.5447164,5.6695545e-13,2.6441362,0.16428833,4.4053316,5.655516e-13,2.5372224,0.30276617,0.6666667,3.7866645,2393.7422,7.0684195,0.0,SrcVela,1,0,0
2.2262047e-13,2.5521185,3.1752736e-13,2.6874743,0.31157255,4.1798363,3.265022e-13,2.5336006,0.7625715,0.6666667,4.175175,1252.2318,14.547205,0.16368805,SrcVela,1,0,0
1.3781073e-13,2.6103368,1.6956941e-13,2.916305,0.19848594,1.8976632,1.6765333e-13,2.6991315,0.35192683,0.6666667,1.2683605,678.16895,9.644684,0.0,SrcVela,0,1,0
3.3019258e-13,2.5978954,5.664146e-13,2.8413775,0.48414358,5.165513,5.8643525e-13,2.6586173,1.1469277,0.6666667,5.305663,1318.2395,10.4761,0.0,SrcVela,1,0,0
2.2247527e-14,2.5024798,2.9617893e-14,2.67914,0.21906509,1.8642871,3.2049192e-14,2.5217855,0.6384224,0.6666667,1.9209145,407.77667,12.785244,0.0,SrcVela,0,1,0
2.4568032e-13,2.5532422,3.5062169e-13,2.9613943,0.32095692,3.4081645,3.648274e-13,2.921621,0.96397114,0.6666667,2.9918983,1446.8717,12.9727335,0.0,SrcVela,1,0,0
4.5440668e-14,2.435278,4.9677673e-14,2.488046,0.061727438,1.0581403,4.6921343e-14,2.4203992,0.03605936,0.6666667,0.0,826.3617,14.327292,0.03469946,SrcVela,0,1,0
